LIBELLEMAGASIN,textbox17,textbox27,textbox36,textbox34,textbox61,textbox29,marque
ANNECY SEYNOD,01/03/2026,31/03/2026,02/03/2025,01/04/2025,Total centre,Tous les fournisseurs,Toutes les marques

textbox48,textbox49,textbox60,textbox50,textbox94,textbox51,textbox52,textbox53,textbox54,textbox108,textbox62,textbox67,textbox76,textbox80,codeFamille,CAHT_n_4,CAHT_n_1_1,CAHT_n_5,textbox57,codeGamme,textbox85,MARGE_n,MARGE_n_1,MARGE_n_3,MARGE_n_5,textbox109,textbox63,textbox68,textbox83,textbox84,codeSousFamille,CAHT_n_3,CAHT_n_1_2,textbox32,textbox24,textbox100,textbox86,textbox25,textbox9,textbox4,textbox38,textbox64,textbox69,textbox87,textbox88,codeGamme_1,CAHT_n_2,CAHT_n_1_3,textbox35,textbox31,textbox89,textbox41,textbox11,textbox14,textbox39,textbox65,textbox75,textbox91,textbox92,codeArticle,nomProduit,CAHT_n,CAHT_n_1,CAHT_n_6,textbox7,MARGE_n_2,MARGE_n_1_1,MARGE_n_4,MARGE_n_6,textbox66,textbox79,textbox102,textbox103
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA01-MASTICS ET RESINES,"76,62","72,46",4 €,"5,7 %","0,4 %","61,4 %","64,7 %",0 €,"0,5 %",6,7,-1,"-14,3 %",103042,DURCISSEUR 50G,,"14,16",-14 €,"-100,0 %",-,"69,6 %",-10 €,"-100,0 %",,2,-2,"-100,0 %"
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA01-MASTICS ET RESINES,"76,62","72,46",4 €,"5,7 %","0,4 %","61,4 %","64,7 %",0 €,"0,5 %",6,7,-1,"-14,3 %",103045,"FIBRE VERRE TISS FIN 0,5M2",,"9,99",-10 €,"-100,0 %",-,"64,1 %",-6 €,"-100,0 %",,1,-1,"-100,0 %"
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA01-MASTICS ET RESINES,"76,62","72,46",4 €,"5,7 %","0,4 %","61,4 %","64,7 %",0 €,"0,5 %",6,7,-1,"-14,3 %",103438,MASTIC TS USAGES+DURCIS 250G,,"18,32",-18 €,"-100,0 %",-,"64,0 %",-12 €,"-100,0 %",,2,-2,"-100,0 %"
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA01-MASTICS ET RESINES,"76,62","72,46",4 €,"5,7 %","0,4 %","61,4 %","64,7 %",0 €,"0,5 %",6,7,-1,"-14,3 %",103441,MASTIC FIBRE VERRE+DURCIS 250G,"9,16",,9 €,-,"59,3 %",-,5 €,-,1,,1,-
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA01-MASTICS ET RESINES,"76,62","72,46",4 €,"5,7 %","0,4 %","61,4 %","64,7 %",0 €,"0,5 %",6,7,-1,"-14,3 %",103442,MASTIC FIBRE VERRE+DURCIS 1KG,,"20,83",-21 €,"-100,0 %",-,"63,1 %",-13 €,"-100,0 %",,1,-1,"-100,0 %"
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA01-MASTICS ET RESINES,"76,62","72,46",4 €,"5,7 %","0,4 %","61,4 %","64,7 %",0 €,"0,5 %",6,7,-1,"-14,3 %",103443,MASTIC FIN POLYEST+DURCIS 250G,"18,32","9,16",9 €,"100,0 %","61,4 %","62,4 %",6 €,"96,5 %",2,1,1,"100,0 %"
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA01-MASTICS ET RESINES,"76,62","72,46",4 €,"5,7 %","0,4 %","61,4 %","64,7 %",0 €,"0,5 %",6,7,-1,"-14,3 %",103444,MASTIC FIN POLYEST+DURCIS 1KG,"39,98",,40 €,-,"62,8 %",-,25 €,-,2,,2,-
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA01-MASTICS ET RESINES,"76,62","72,46",4 €,"5,7 %","0,4 %","61,4 %","64,7 %",0 €,"0,5 %",6,7,-1,"-14,3 %",103445,MASTIC REPAR ELASTIQ 250G,"9,16",,9 €,-,"57,8 %",-,5 €,-,1,,1,-
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA02-MATERIEL DE PREPARATION,"29,98","22,22",8 €,"34,9 %","0,2 %","46,6 %","36,1 %",6 €,"74,3 %",5,5,0,"0,0 %",103057,ABRASIF SEC P180 X4,,"4,58",-5 €,"-100,0 %",-,"51,1 %",-2 €,"-100,0 %",,1,-1,"-100,0 %"
186 418,168 713,17 704 €,"10,5 %","101,9 %","54,2 %","53,2 %",11 388 €,"12,7 %","112,7 %",10 618,10 326,292,"2,8 %",A-ENTRETIEN,17 301,14 560,2 740 €,"18,8 %","9,5 %","9,3 %","44,7 %","46,5 %",970 €,"14,3 %","120,9 %",1 265,1 147,118,"10,3 %",AA-PEINTURE ET REPAR.CARROSSERIE,"581,40","492,52",89 €,"18,0 %","0,3 %","3,4 %","45,7 %","39,3 %",72 €,"37,2 %",47,44,3,"6,8 %",AA02-MATERIEL DE PREPARATION,"29,98","22,22",8 €,"34,9 %","0,2 %","46,6 %","36,1 %",6 €,"74,3 %",5,5,0,"0,0 %",103059,ABRASIF EAU P400 X4,"9,16","4,58",5 €,"100,0 %","53,3 %","53,3 %",2 €,"100,0 %",2,1,1,"100,0 %"
