textbox89,textbox9856,textbox25
Sélectionnez une période,18/05/2026 - 24/05/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
AUTRE,,,2,"2,5 %","0,0 %",2,,193,"0,0 %",193,,"-5,19","-2,69%",-1,"-0,63%",PREMIUM,,,24,"30,4 %","-31,4 %",-11,,2 477,"-26,1 %",-876,,"133,52","5,39%",264,"10,67%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
CONTINENTAL,,,6,"7,6 %","-50,0 %",-6,,646,"-37,0 %",-380,,"-8,83","-1,37%",90,"13,89%",PREMIUM,,,24,"30,4 %","-31,4 %",-11,,2 477,"-26,1 %",-876,,"133,52","5,39%",264,"10,67%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
GOODYEAR,,,,,"-100,0 %",-6,,,"-100,0 %",-578,,,-,,-,PREMIUM,,,24,"30,4 %","-31,4 %",-11,,2 477,"-26,1 %",-876,,"133,52","5,39%",264,"10,67%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
MICHELIN,,,16,"20,3 %","23,1 %",3,,1 638,"24,3 %",320,,"147,54","9,01%",176,"10,74%",PREMIUM,,,24,"30,4 %","-31,4 %",-11,,2 477,"-26,1 %",-876,,"133,52","5,39%",264,"10,67%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
PIRELLI,,,,,"-100,0 %",-4,,,"-100,0 %",-432,,,-,,-,PREMIUM,,,24,"30,4 %","-31,4 %",-11,,2 477,"-26,1 %",-876,,"133,52","5,39%",264,"10,67%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
AUTRE,,,2,"2,5 %","100,0 %",1,,162,"158,7 %",99,,"10,64","6,59%",11,"6,59%",MEDIUM,,,37,"46,8 %","-14,0 %",-6,,2 613,"-20,3 %",-665,,"-22,10","-0,85%",293,"11,20%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
FEU VERT,,,10,"12,7 %","-64,3 %",-18,,720,"-68,9 %",-1 599,,"138,14","19,18%",218,"30,33%",MEDIUM,,,37,"46,8 %","-14,0 %",-6,,2 613,"-20,3 %",-665,,"-22,10","-0,85%",293,"11,20%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
HANKOOK,,,25,"31,6 %","78,6 %",11,,1 732,"93,2 %",835,,"-170,88","-9,87%",64,"3,68%",MEDIUM,,,37,"46,8 %","-14,0 %",-6,,2 613,"-20,3 %",-665,,"-22,10","-0,85%",293,"11,20%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
KUMHO,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,37,"46,8 %","-14,0 %",-6,,2 613,"-20,3 %",-665,,"-22,10","-0,85%",293,"11,20%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
NEXEN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,37,"46,8 %","-14,0 %",-6,,2 613,"-20,3 %",-665,,"-22,10","-0,85%",293,"11,20%",,79,"-3,7 %",-3,,6 076,"-10,9 %","-739,66",,"259,06","4,26%",709,"11,66%"
