textbox89,textbox9856,textbox25
Sélectionnez une période,15/06/2026 - 21/06/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,18,"26,9 %","-52,6 %",-20,,1 971,"-47,1 %",-1 758,,"-52,79","-2,68%",228,"11,56%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
CONTINENTAL,,,14,"20,9 %","-50,0 %",-14,,1 562,"-38,4 %",-972,,"-89,73","-5,75%",184,"11,77%",PREMIUM,,,18,"26,9 %","-52,6 %",-20,,1 971,"-47,1 %",-1 758,,"-52,79","-2,68%",228,"11,56%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,18,"26,9 %","-52,6 %",-20,,1 971,"-47,1 %",-1 758,,"-52,79","-2,68%",228,"11,56%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
MICHELIN,,,4,"6,0 %","-60,0 %",-6,,409,"-65,7 %",-786,,"36,94","9,02%",44,"10,75%",PREMIUM,,,18,"26,9 %","-52,6 %",-20,,1 971,"-47,1 %",-1 758,,"-52,79","-2,68%",228,"11,56%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,18,"26,9 %","-52,6 %",-20,,1 971,"-47,1 %",-1 758,,"-52,79","-2,68%",228,"11,56%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
AUTRE,,,6,"9,0 %","0,0 %",0,,580,"-5,2 %",-32,,"78,51","13,54%",79,"13,54%",MEDIUM,,,25,"37,3 %","-16,7 %",-5,,1 883,"-24,4 %",-609,,"319,85","16,98%",430,"22,81%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
FEU VERT,,,8,"11,9 %","-42,9 %",-6,,739,"-32,6 %",-358,,"203,01","27,46%",277,"37,47%",MEDIUM,,,25,"37,3 %","-16,7 %",-5,,1 883,"-24,4 %",-609,,"319,85","16,98%",430,"22,81%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
HANKOOK,,,3,"4,5 %","-62,5 %",-5,,220,"-67,3 %",-453,,"24,31","11,06%",48,"22,03%",MEDIUM,,,25,"37,3 %","-16,7 %",-5,,1 883,"-24,4 %",-609,,"319,85","16,98%",430,"22,81%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
KUMHO,,,8,"11,9 %","0,0 %",8,,345,"0,0 %",345,,"14,02","4,07%",26,"7,43%",MEDIUM,,,25,"37,3 %","-16,7 %",-5,,1 883,"-24,4 %",-609,,"319,85","16,98%",430,"22,81%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
NEXEN,,,,,"-100,0 %",-2,,,"-100,0 %",-111,,,-,,-,MEDIUM,,,25,"37,3 %","-16,7 %",-5,,1 883,"-24,4 %",-609,,"319,85","16,98%",430,"22,81%",,67,"-14,1 %",-11,,5 031,"-24,9 %","-1 671,07",,"379,80","7,55%",783,"15,57%"
