textbox10,textbox29,textbox23
Région : G - V. MARION (S),Avril 2026,Magasin : ANNECY 2

dateDatetime,libelleJour,CATTC,CATTC_entretien,CATTC_elec,CATTC_piecesTech,CATTC_Outillage,CATTC_EquipExt,CATTC_EquipInt,CATTC_AutoSon,CATTC_Roues,CATTC_Lub,CATTC_Pneus,CATTC_MO,marge,marge_1,textbox8,textbox22,textbox18,textbox30,textbox31,textbox33,textbox39,textbox41,CATTC_Roues_1,textbox47,textbox49,textbox57,textbox50,textbox42
01/04/2026,Mercredi,8 782,672,507,950,182,957,183,120,138,622,1 832,2 541,"50,6 %",3 705,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
02/04/2026,Jeudi,9 393,731,551,1 033,198,1 041,199,131,150,677,1 992,2 605,"49,8 %",3 898,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
03/04/2026,Vendredi,9 219,753,568,1 064,204,1 072,205,135,154,697,2 052,2 228,"47,3 %",3 635,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
04/04/2026,Samedi,14 315,1 199,904,1 694,325,1 706,327,214,246,1 110,3 266,3 188,"46,0 %",5 487,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
05/04/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
06/04/2026,Lundi,0,0,0,0,0,0,0,0,0,0,0,0,,0,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
07/04/2026,Mardi,9 105,696,453,999,176,1 028,186,120,166,624,1 819,2 773,"51,9 %",3 942,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
08/04/2026,Mercredi,11 454,957,624,1 374,243,1 413,256,165,228,858,2 501,2 745,"47,5 %",4 530,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
09/04/2026,Jeudi,10 050,791,516,1 136,201,1 168,212,137,188,710,2 068,2 851,"50,5 %",4 230,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
10/04/2026,Vendredi,10 944,849,553,1 218,215,1 254,227,147,202,761,2 219,3 219,"51,2 %",4 672,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
11/04/2026,Samedi,13 984,1 151,750,1 651,292,1 699,308,199,274,1 032,3 007,3 514,"48,3 %",5 624,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
12/04/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
13/04/2026,Lundi,8 450,711,465,1 018,180,1 050,190,123,169,637,1 863,1 978,"47,1 %",3 316,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
14/04/2026,Mardi,9 551,789,516,1 131,200,1 165,211,136,187,707,2 068,2 366,"48,0 %",3 824,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
15/04/2026,Mercredi,11 080,882,577,1 264,224,1 303,236,152,210,790,2 313,3 046,"49,9 %",4 609,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
16/04/2026,Jeudi,11 589,937,613,1 342,237,1 383,250,162,222,839,2 455,3 060,"49,2 %",4 748,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
17/04/2026,Vendredi,10 895,928,607,1 330,235,1 371,248,160,220,832,2 434,2 440,"46,4 %",4 213,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
18/04/2026,Samedi,13 059,1 038,679,1 487,263,1 533,277,179,246,930,2 720,3 610,"50,0 %",5 444,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
19/04/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
20/04/2026,Lundi,8 020,680,444,974,172,1 004,182,117,162,609,1 781,1 830,"46,7 %",3 120,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
21/04/2026,Mardi,9 062,755,493,1 082,191,1 115,202,130,179,676,1 977,2 190,"47,6 %",3 596,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
22/04/2026,Mercredi,10 504,844,552,1 210,214,1 247,226,146,201,756,2 211,2 820,"49,5 %",4 330,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
23/04/2026,Jeudi,10 990,896,586,1 284,227,1 323,240,155,213,803,2 347,2 832,"48,7 %",4 462,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
24/04/2026,Vendredi,10 894,928,607,1 331,235,1 371,248,160,221,832,2 433,2 440,"46,4 %",4 212,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
25/04/2026,Samedi,12 318,1 005,657,1 440,255,1 484,268,174,239,900,2 632,3 171,"48,7 %",4 999,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
26/04/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
27/04/2026,Lundi,9 635,775,505,1 113,196,1 145,207,134,184,695,2 025,2 581,"49,4 %",3 967,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
28/04/2026,Mardi,9 852,798,520,1 146,202,1 179,214,138,190,716,2 086,2 589,"49,1 %",4 028,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
29/04/2026,Mercredi,9 852,798,520,1 146,202,1 179,214,138,190,716,2 086,2 589,"49,1 %",4 028,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078
30/04/2026,Jeudi,10 988,896,584,1 287,227,1 324,240,155,213,804,2 342,2 832,"48,7 %",4 460,263 985,21 459,14 349,30 703,5 499,31 513,5 755,3 726,4 992,19 334,56 529,68 043,"48,7 %",107 078

