textbox10,textbox29,textbox23
Région : G - V. MARION (S),Mai 2026,Magasin : ANNECY 2

dateDatetime,libelleJour,CATTC,CATTC_entretien,CATTC_elec,CATTC_piecesTech,CATTC_Outillage,CATTC_EquipExt,CATTC_EquipInt,CATTC_AutoSon,CATTC_Roues,CATTC_Lub,CATTC_Pneus,CATTC_MO,marge,marge_1,textbox8,textbox22,textbox18,textbox30,textbox31,textbox33,textbox39,textbox41,CATTC_Roues_1,textbox47,textbox49,textbox57,textbox50,textbox42
01/05/2026,Vendredi,0,0,0,0,0,0,0,0,0,0,0,0,,0,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
02/05/2026,Samedi,13 388,1 131,737,1 623,286,1 670,303,195,269,1 014,2 954,3 100,"46,9 %",5 232,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
03/05/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
04/05/2026,Lundi,12 758,1 100,687,1 541,271,1 591,304,183,279,959,2 609,3 131,"48,7 %",5 179,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
05/05/2026,Mardi,10 814,907,566,1 270,223,1 311,250,151,230,791,2 151,2 877,"50,1 %",4 517,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
06/05/2026,Mercredi,12 450,1 074,671,1 504,264,1 553,297,179,272,937,2 547,3 051,"48,7 %",5 052,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
07/05/2026,Jeudi,8 854,704,439,985,173,1 017,194,117,178,614,1 669,2 697,"52,7 %",3 891,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
08/05/2026,Vendredi,7 472,670,418,938,165,968,185,111,170,584,1 589,1 611,"46,7 %",2 907,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
09/05/2026,Samedi,9 967,822,513,1 151,202,1 189,227,137,208,717,1 950,2 773,"50,9 %",4 231,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
10/05/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
11/05/2026,Lundi,7 570,688,429,965,169,995,190,114,175,601,1 630,1 548,"45,9 %",2 897,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
12/05/2026,Mardi,10 577,885,552,1 240,218,1 280,245,147,225,772,2 097,2 833,"50,2 %",4 427,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
13/05/2026,Mercredi,9 937,858,535,1 202,211,1 240,237,143,218,749,2 032,2 431,"48,6 %",4 029,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
14/05/2026,Jeudi,7 986,716,446,1 003,176,1 035,198,119,182,625,1 696,1 722,"46,7 %",3 106,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
15/05/2026,Vendredi,9 299,847,528,1 188,209,1 225,234,141,215,739,2 007,1 885,"45,8 %",3 549,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
16/05/2026,Samedi,9 937,901,561,1 262,222,1 302,249,150,229,786,2 134,2 056,"46,1 %",3 816,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
17/05/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
18/05/2026,Lundi,8 498,746,466,1 045,184,1 079,206,124,189,651,1 770,1 967,"47,8 %",3 383,252 219,21 435,13 401,30 064,5 284,31 023,5 910,3 573,5 418,18 724,51 073,64 280,"49,3 %",103 632
