nbContratEntretien_DECI,nbCE_G6K
21,0

textbox1,textbox72
Du 01/05/2025,31/05/2025

LIBELLEMAGASIN
ANNECY SEYNOD

textbox250,textbox256
01/05/2025 - 31/05/2025,02/05/2024 - 01/06/2024

caht_n,textbox4,textbox74,textbox84,cattc_n,textbox16,marge_n,textbox24,textbox78,textbox86,textbox11,nbPassage_n,textbox14,cattc_n_2,textbox17
203 679,"-12,2 %",229 378,"88,8 %",244 407,"-12,2 %","48,9 %","-13,8 %",117 628,-18 109,Nb. client,3183,"-3,5 %","76,8 €","-9,0 %"

textbox22,textbox25,textbox27,textbox29,textbox31,textbox33,textbox34,textbox35,textbox37,textbox39,textbox41
75 761,"9,5 %",90 906,"9,5 %","33,0 %","3,6 %",Nb. client,2460,"-1,2 %","37,0 €","10,8 %"

textbox43,textbox45,textbox47,textbox49,textbox51,textbox53,textbox54,textbox55,textbox57,textbox62,textbox64
127 918,"-21,4 %",153 500,"-21,4 %","58,3 %","-18,4 %",Nb. client,776,"-9,9 %","197,8 €","-12,8 %"

textbox76,textbox19,codeFamille,libelleFamille,caht_n_1_1,textbox36,textbox77,textbox15,textbox71,textbox66
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,,,,-,-, - ,-,-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,A,ENTRETIEN,"20 457,77","8,4 %","-7,4 %","101,1 %","45,3 %","-8,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,B,ELECTRICITE,"13 945,41","5,7 %","-8,7 %","114,5 %","45,5 %","-8,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,C,PIECES TECHNIQUES,"23 709,42","9,7 %","-33,7 %","73,2 %","44,7 %","-43,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,D,OUTILLAGE,"5 562,68","2,3 %","24,5 %","109,5 %","40,8 %","24,4 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,E,EQUIPEMENT EXTERIEUR,"27 853,52","11,4 %","-8,6 %","79,7 %","38,0 %","-10,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,F,EQUIPEMENT INTERIEUR,"5 448,73","2,2 %","-5,5 %","95,3 %","37,8 %","-3,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,G,AUTO SON,"3 219,95","1,3 %","-24,6 %","82,5 %","29,4 %","-22,7 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,H,LUBRIFIANTS,"17 487,02","7,2 %","-9,6 %","88,5 %","44,6 %","-8,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,I,PNEUMATIQUES,"45 917,35","18,8 %","-19,4 %","79,6 %","10,2 %","-16,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,J,2 ROUES,"14 203,94","5,8 %","-13,8 %","174,9 %","-2,9 %","-110,9 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,M,CAMPING-CAR/CARAVANING,"29,98","0,0 %",-, - ,"29,0 %",-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,U,SERVICES,"-3 442,99","-1,4 %","-52,9 %","239,1 %","132,7 %","-32,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,W,DIVERS,"3 951,85","1,6 %","-9,9 %", - ,"95,6 %","-12,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,X,TARIF MAIN D'OEUVRE,"67 162,72","27,5 %","-14,3 %","89,3 %","100,0 %","-14,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,T,FIDELITE,"-1 100,64","-0,5 %","-86,3 %","35,9 %","100,0 %","-86,3 %"

libelle,marge_n_2,marge_n_1_1,textbox92
Marge Produit,43 550,50 147,-13 %

