nbContratEntretien_DECI,nbCE_G6K
18,0

textbox1,textbox72
Du 01/04/2026,30/04/2026

LIBELLEMAGASIN
ANNECY SEYNOD

textbox250,textbox256
01/04/2026 - 30/04/2026,02/04/2025 - 01/05/2025

caht_n,textbox4,textbox74,textbox84,cattc_n,textbox16,marge_n,textbox24,textbox78,textbox86,textbox11,nbPassage_n,textbox14,cattc_n_2,textbox17
197 146,"0,4 %",219 988,"89,6 %",236 566,"0,4 %","50,3 %","3,1 %",107 078,-8 011,Nb. client,3175,"5,5 %","74,5 €","-4,8 %"

textbox22,textbox25,textbox27,textbox29,textbox31,textbox33,textbox34,textbox35,textbox37,textbox39,textbox41
79 234,"14,8 %",95 073,"14,8 %","34,5 %","13,9 %",Nb. client,2538,"9,3 %","37,5 €","5,0 %"

textbox43,textbox45,textbox47,textbox49,textbox51,textbox53,textbox54,textbox55,textbox57,textbox62,textbox64
117 913,"-7,4 %",141 493,"-7,4 %","60,8 %","-0,5 %",Nb. client,666,"-9,1 %","212,5 €","1,9 %"

textbox76,textbox19,codeFamille,libelleFamille,caht_n_1_1,textbox36,textbox77,textbox15,textbox71,textbox66
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,,,,-,-, - ,-,-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,A,ENTRETIEN,"20 767,66","8,8 %","19,5 %","96,8 %","44,0 %","11,9 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,B,ELECTRICITE,"13 026,70","5,5 %","5,1 %","90,8 %","47,9 %","11,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,C,PIECES TECHNIQUES,"30 721,05","13,0 %","16,5 %","100,1 %","48,7 %","21,7 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,D,OUTILLAGE,"5 210,58","2,2 %","-7,9 %","94,8 %","39,8 %","-6,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,E,EQUIPEMENT EXTERIEUR,"31 620,28","13,4 %","22,9 %","100,3 %","40,3 %","33,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,F,EQUIPEMENT INTERIEUR,"5 650,51","2,4 %","2,8 %","98,2 %","32,5 %","-14,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,G,AUTO SON,"2 298,54","1,0 %","-47,8 %","61,7 %","28,1 %","-47,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,H,LUBRIFIANTS,"18 407,89","7,8 %","2,3 %","95,2 %","41,7 %","-2,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,I,PNEUMATIQUES,"37 341,84","15,8 %","-17,2 %","66,1 %","8,6 %","106,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,J,2 ROUES,"11 653,85","4,9 %","6,2 %","233,5 %","-4,5 %","-130,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,M,CAMPING-CAR/CARAVANING,"25,49","0,0 %","70,0 %", - ,"31,7 %","66,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,U,SERVICES,"-8 083,43","-3,4 %","96,5 %","480,5 %","84,3 %","32,4 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,W,DIVERS,"3 358,76","1,4 %","-11,4 %", - ,"92,9 %","-14,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,X,TARIF MAIN D'OEUVRE,"64 566,55","27,3 %","-2,8 %","94,9 %","100,0 %","-2,8 %"

libelle,marge_n_2,marge_n_1_1,textbox92
Marge Produit,45 261,40 692,11 %

