nbContratEntretien_DECI,nbCE_G6K
16,0

textbox1,textbox72
Du 01/05/2026,31/05/2026

LIBELLEMAGASIN
ANNECY SEYNOD

textbox250,textbox256
01/05/2026 - 31/05/2026,02/05/2025 - 01/06/2025

caht_n,textbox4,textbox74,textbox84,cattc_n,textbox16,marge_n,textbox24,textbox78,textbox86,textbox11,nbPassage_n,textbox14,cattc_n_2,textbox17
200 941,"-1,4 %",210 183,"95,6 %",241 119,"-1,4 %","52,7 %","6,5 %",103 632,2 351,Nb. client,3254,"2,2 %","74,1 €","-3,5 %"

textbox22,textbox25,textbox27,textbox29,textbox31,textbox33,textbox34,textbox35,textbox37,textbox39,textbox41
69 177,"-8,7 %",83 005,"-8,7 %","40,3 %","11,5 %",Nb. client,2479,"0,8 %","33,5 €","-9,4 %"

textbox43,textbox45,textbox47,textbox49,textbox51,textbox53,textbox54,textbox55,textbox57,textbox62,textbox64
131 763,"3,0 %",158 114,"3,0 %","59,3 %","4,8 %",Nb. client,824,"6,2 %","191,9 €","-3,0 %"

textbox76,textbox19,codeFamille,libelleFamille,caht_n_1_1,textbox36,textbox77,textbox15,textbox71,textbox66
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,,,,-,-, - ,-,-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,A,ENTRETIEN,"21 471,96","8,9 %","5,0 %","100,2 %","43,3 %","0,4 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,B,ELECTRICITE,"17 189,17","7,1 %","23,3 %","128,3 %","43,9 %","19,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,C,PIECES TECHNIQUES,"34 217,33","14,2 %","44,3 %","113,8 %","46,2 %","49,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,D,OUTILLAGE,"5 379,66","2,2 %","-3,3 %","101,8 %","41,2 %","-2,4 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,E,EQUIPEMENT EXTERIEUR,"27 197,01","11,3 %","-2,4 %","87,7 %","43,5 %","11,6 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,F,EQUIPEMENT INTERIEUR,"5 519,84","2,3 %","1,3 %","93,4 %","32,6 %","-12,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,G,AUTO SON,"3 698,98","1,5 %","14,9 %","103,5 %","28,9 %","13,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,H,LUBRIFIANTS,"19 076,51","7,9 %","9,1 %","101,9 %","41,2 %","0,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,I,PNEUMATIQUES,"41 202,08","17,1 %","-10,3 %","80,7 %","10,7 %","-6,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,J,2 ROUES,"2 006,95","0,8 %","-85,9 %","37,0 %","5,4 %","-126,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,M,CAMPING-CAR/CARAVANING,"14,99","0,0 %","-50,0 %", - ,"25,6 %","-55,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,U,SERVICES,"-11 470,79","-4,8 %","237,5 %","710,1 %","88,7 %","123,6 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,W,DIVERS,"3 973,61","1,6 %","0,6 %", - ,"95,0 %","-0,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,X,TARIF MAIN D'OEUVRE,"71 641,47","29,7 %","6,7 %","111,5 %","100,0 %","6,7 %"

libelle,marge_n_2,marge_n_1_1,textbox92
Marge Produit,46 282,43 568,6 %

