LIBELLEMAGASIN,textbox17,textbox27,textbox36,textbox34,textbox61,textbox29,marque
ANNECY SEYNOD,01/05/2026,31/05/2026,02/05/2025,01/06/2025,Total centre,Tous les fournisseurs,Toutes les marques

textbox48,textbox49,textbox60,textbox50,textbox94,textbox51,textbox52,textbox53,textbox54,textbox108,textbox62,textbox67,textbox76,textbox80,codeFamille,CAHT_n_4,CAHT_n_1_1,CAHT_n_5,textbox57,codeGamme,textbox85,MARGE_n,MARGE_n_1,MARGE_n_3,MARGE_n_5,textbox109,textbox63,textbox68,textbox83,textbox84,codeSousFamille,CAHT_n_3,CAHT_n_1_2,textbox32,textbox24,textbox100,textbox86,textbox25,textbox9,textbox4,textbox38,textbox64,textbox69,textbox87,textbox88,codeGamme_1,CAHT_n_2,CAHT_n_1_3,textbox35,textbox31,textbox89,textbox41,textbox11,textbox14,textbox39,textbox65,textbox75,textbox91,textbox92,codeArticle,nomProduit,CAHT_n,CAHT_n_1,CAHT_n_6,textbox7,MARGE_n_2,MARGE_n_1_1,MARGE_n_4,MARGE_n_6,textbox66,textbox79,textbox102,textbox103
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103046,"FIBRE VERRE TISS MOYEN 0,5 M2",,"49,96",-50 €,"-100,0 %",-,"55,6 %",-28 €,"-100,0 %",,4,-4,"-100,0 %"
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103051,MASTIC NITRO COMBI GRIS 250G,,"9,16",-9 €,"-100,0 %",-,"60,2 %",-6 €,"-100,0 %",,1,-1,"-100,0 %"
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103438,MASTIC TS USAGES+DURCIS 250G,"45,80","25,64",20 €,"78,6 %","61,4 %","52,1 %",15 €,"110,3 %",5,4,1,"25,0 %"
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103439,MASTIC TS USAGES + DURCIS 1KG,"39,98","0,00",40 €,-,"63,1 %",#Erreur,25 €,-,2,0,2,-
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103441,MASTIC FIBRE VERRE+DURCIS 250G,"9,16","9,16",0 €,"0,0 %","59,3 %","60,5 %",0 €,"-2,0 %",1,1,0,"0,0 %"
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103442,MASTIC FIBRE VERRE+DURCIS 1KG,"20,83","62,49",-42 €,"-66,7 %","62,0 %","63,1 %",-27 €,"-67,3 %",1,3,-2,"-66,7 %"
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103443,MASTIC FIN POLYEST+DURCIS 250G,"36,64","18,32",18 €,"100,0 %","61,4 %","61,9 %",11 €,"98,2 %",4,2,2,"100,0 %"
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103444,MASTIC FIN POLYEST+DURCIS 1KG,,"19,99",-20 €,"-100,0 %",-,"63,9 %",-13 €,"-100,0 %",,1,-1,"-100,0 %"
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103445,MASTIC REPAR ELASTIQ 250G,"9,16","9,16",0 €,"0,0 %","57,8 %","59,0 %",0 €,"-2,0 %",1,1,0,"0,0 %"
200 941,203 716,-2 775 €,"-1,4 %","95,6 %","52,7 %","48,9 %",6 450 €,"6,5 %","102,3 %",12 146,11 412,734,"6,4 %",A-ENTRETIEN,17 895,17 050,845 €,"5,0 %","8,5 %","8,9 %","43,3 %","45,3 %",33 €,"0,4 %","98,9 %",1 356,1 262,94,"7,4 %",AA-PEINTURE ET REPAR.CARROSSERIE,"708,33","986,84",-279 €,"-28,2 %","0,3 %","4,0 %","50,0 %","47,3 %",-113 €,"-24,2 %",63,81,-18,"-22,2 %",AA01-MASTICS ET RESINES,"215,72","258,03",-42 €,"-16,4 %","1,2 %","61,9 %","60,4 %",-22 €,"-14,3 %",16,19,-3,"-15,8 %",103447,MASTIC TS USAGES+DURCIS 500G,"14,16","14,16",0 €,"0,0 %","63,5 %","64,5 %",0 €,"-1,6 %",1,1,0,"0,0 %"
