textbox89,textbox9856,textbox25
Sélectionnez une période,01/04/2026 - 30/04/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
AUTRE,,,2,"0,6 %","0,0 %",0,,233,"21,6 %",41,,"-5,53","-2,37%",-6,"-2,37%",PREMIUM,,,177,"55,3 %","-28,0 %",-69,,18 603,"-17,0 %",-3 819,,"-191,45","-1,03%",2 222,"11,94%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
CONTINENTAL,,,129,"40,3 %","-28,7 %",-52,,12 190,"-17,1 %",-2 506,,"-860,12","-7,06%",1 433,"11,76%",PREMIUM,,,177,"55,3 %","-28,0 %",-69,,18 603,"-17,0 %",-3 819,,"-191,45","-1,03%",2 222,"11,94%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,177,"55,3 %","-28,0 %",-69,,18 603,"-17,0 %",-3 819,,"-191,45","-1,03%",2 222,"11,94%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
MICHELIN,,,42,"13,1 %","-33,3 %",-21,,5 410,"-28,2 %",-2 124,,"628,33","11,61%",719,"13,29%",PREMIUM,,,177,"55,3 %","-28,0 %",-69,,18 603,"-17,0 %",-3 819,,"-191,45","-1,03%",2 222,"11,94%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
PIRELLI,,,4,"1,3 %","0,0 %",4,,770,"0,0 %",770,,"45,87","5,96%",75,"9,72%",PREMIUM,,,177,"55,3 %","-28,0 %",-69,,18 603,"-17,0 %",-3 819,,"-191,45","-1,03%",2 222,"11,94%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
AUTRE,,,14,"4,4 %","250,0 %",10,,1 158,"288,2 %",860,,"72,95","6,30%",82,"7,06%",MEDIUM,,,99,"30,9 %","-5,7 %",-6,,8 092,"-8,1 %",-713,,"601,23","7,43%",1 304,"16,12%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
FEU VERT,,,45,"14,1 %","-29,7 %",-19,,3 255,"-33,0 %",-1 603,,"457,62","14,06%",844,"25,92%",MEDIUM,,,99,"30,9 %","-5,7 %",-6,,8 092,"-8,1 %",-713,,"601,23","7,43%",1 304,"16,12%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
HANKOOK,,,12,"3,8 %","-62,5 %",-20,,1 521,"-53,8 %",-1 773,,"-127,31","-8,37%",76,"4,99%",MEDIUM,,,99,"30,9 %","-5,7 %",-6,,8 092,"-8,1 %",-713,,"601,23","7,43%",1 304,"16,12%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
KUMHO,,,14,"4,4 %","0,0 %",14,,1 117,"0,0 %",1 117,,"198,67","17,78%",231,"20,66%",MEDIUM,,,99,"30,9 %","-5,7 %",-6,,8 092,"-8,1 %",-713,,"601,23","7,43%",1 304,"16,12%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
NEXEN,,,14,"4,4 %","1 300,0 %",13,,1 040,"2 792,5 %",1 004,,"-0,70","-0,07%",72,"6,94%",MEDIUM,,,99,"30,9 %","-5,7 %",-6,,8 092,"-8,1 %",-713,,"601,23","7,43%",1 304,"16,12%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
NOKIAN,,,,,"-100,0 %",-4,,,"-100,0 %",-318,,,-,,-,MEDIUM,,,99,"30,9 %","-5,7 %",-6,,8 092,"-8,1 %",-713,,"601,23","7,43%",1 304,"16,12%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
AUTRE,,,8,"2,5 %","100,0 %",4,,593,"274,5 %",435,,"92,76","15,64%",102,"17,19%",BUDGET,,,44,"13,8 %","-48,2 %",-41,,2 180,"-37,1 %",-1 287,,"242,00","11,10%",286,"13,13%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
ROVELO,,,18,"5,6 %","-37,9 %",-11,,730,"-31,8 %",-340,,"147,55","20,22%",148,"20,22%",BUDGET,,,44,"13,8 %","-48,2 %",-41,,2 180,"-37,1 %",-1 287,,"242,00","11,10%",286,"13,13%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"
TRACMAX,,,18,"5,6 %","-65,4 %",-34,,857,"-61,7 %",-1 381,,"1,69","0,20%",37,"4,29%",BUDGET,,,44,"13,8 %","-48,2 %",-41,,2 180,"-37,1 %",-1 287,,"242,00","11,10%",286,"13,13%",,320,"-26,6 %",-116,,28 875,"-16,8 %","-5 817,93",,"651,78","2,26%",3 812,"13,20%"

marque,Obj,pdm5,real,PdmReal,Textbox305,textbox181,ObjectifCA2,G,Textbox73,textbox255,I,JI,Textbox98,J,textbox313,categorie,textbox184,textbox285,Greal,textbox187,Textbox311,textbox183,Textbox95,GG,Textbox75,textbox267,GI,GJI,Textbox107,GJ,textbox317,textbox8,totalReal,Textbox316b,textbox186,Textbox96,TG,Textbox76,textbox259,TI,TJI,Textbox103,TJ,textbox318
AUTRE,,,,,"-100,0 %",-2,,,"-100,0 %",-192,,,-,,-,PREMIUM,,,115,"54,5 %","-32,0 %",-54,,13 320,"-15,1 %",-2 368,,"192,27","1,44%",1 839,"13,81%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
CONTINENTAL,,,73,"34,6 %","-41,6 %",-52,,7 666,"-23,8 %",-2 400,,"-419,47","-5,47%",1 117,"14,57%",PREMIUM,,,115,"54,5 %","-32,0 %",-54,,13 320,"-15,1 %",-2 368,,"192,27","1,44%",1 839,"13,81%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,115,"54,5 %","-32,0 %",-54,,13 320,"-15,1 %",-2 368,,"192,27","1,44%",1 839,"13,81%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
MICHELIN,,,38,"18,0 %","-9,5 %",-4,,4 885,"-10,0 %",-545,,"565,87","11,58%",648,"13,26%",PREMIUM,,,115,"54,5 %","-32,0 %",-54,,13 320,"-15,1 %",-2 368,,"192,27","1,44%",1 839,"13,81%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
