textbox10,textbox29,textbox23
Région : G - V. MARION (S),Juin 2026,Magasin : ANNECY 2

dateDatetime,libelleJour,CATTC,CATTC_entretien,CATTC_elec,CATTC_piecesTech,CATTC_Outillage,CATTC_EquipExt,CATTC_EquipInt,CATTC_AutoSon,CATTC_Roues,CATTC_Lub,CATTC_Pneus,CATTC_MO,marge,marge_1,textbox8,textbox22,textbox18,textbox30,textbox31,textbox33,textbox39,textbox41,CATTC_Roues_1,textbox47,textbox49,textbox57,textbox50,textbox42
01/06/2026,Lundi,10 285,787,540,1 276,214,1 267,277,156,245,762,1 864,2 819,"50,1 %",4 297,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
02/06/2026,Mardi,8 342,673,462,1 091,183,1 083,237,134,210,652,1 593,1 959,"47,4 %",3 298,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
03/06/2026,Mercredi,9 068,732,502,1 187,199,1 178,258,145,228,709,1 733,2 125,"47,4 %",3 582,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
04/06/2026,Jeudi,8 418,649,445,1 052,177,1 044,229,129,202,629,1 536,2 263,"49,8 %",3 491,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
05/06/2026,Vendredi,8 901,668,458,1 083,182,1 075,235,133,208,647,1 581,2 566,"51,1 %",3 791,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
06/06/2026,Samedi,12 297,974,668,1 580,265,1 568,343,193,303,944,2 307,3 055,"48,4 %",4 957,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
07/06/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
08/06/2026,Lundi,9 953,770,528,1 249,210,1 240,271,153,240,746,1 823,2 649,"49,6 %",4 113,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
09/06/2026,Mardi,8 086,658,451,1 068,179,1 060,232,131,205,638,1 558,1 841,"46,9 %",3 163,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
10/06/2026,Mercredi,8 789,716,491,1 161,195,1 153,252,142,223,694,1 695,1 997,"46,9 %",3 436,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
11/06/2026,Jeudi,8 148,635,435,1 030,173,1 022,224,126,198,615,1 503,2 127,"49,2 %",3 343,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
12/06/2026,Vendredi,8 609,653,448,1 060,178,1 052,230,130,203,633,1 546,2 412,"50,5 %",3 626,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
13/06/2026,Samedi,11 912,953,654,1 546,260,1 534,336,189,297,924,2 256,2 870,"47,9 %",4 750,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
14/06/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
15/06/2026,Lundi,8 752,684,469,1 110,186,1 101,241,136,213,663,1 619,2 263,"49,1 %",3 579,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
16/06/2026,Mardi,8 508,659,452,1 069,180,1 061,232,131,205,639,1 561,2 254,"49,5 %",3 510,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
17/06/2026,Mercredi,8 685,688,472,1 116,187,1 108,243,137,214,667,1 629,2 157,"48,4 %",3 500,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
18/06/2026,Jeudi,9 392,741,508,1 201,202,1 192,261,147,231,718,1 753,2 365,"48,6 %",3 804,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
19/06/2026,Vendredi,8 224,654,449,1 061,178,1 053,231,130,204,634,1 549,2 017,"48,1 %",3 300,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
20/06/2026,Samedi,11 790,969,665,1 572,264,1 560,342,192,302,939,2 294,2 598,"46,4 %",4 563,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
21/06/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
22/06/2026,Lundi,9 494,741,509,1 202,202,1 194,261,147,231,718,1 758,2 459,"49,1 %",3 885,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
23/06/2026,Mardi,9 230,714,491,1 158,195,1 150,252,142,222,692,1 694,2 448,"49,5 %",3 810,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
24/06/2026,Mercredi,9 422,746,512,1 209,203,1 201,263,148,232,722,1 769,2 343,"48,4 %",3 800,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
25/06/2026,Jeudi,10 188,803,552,1 301,219,1 292,283,159,250,777,1 903,2 570,"48,6 %",4 129,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
26/06/2026,Vendredi,8 921,709,487,1 150,193,1 142,250,141,221,687,1 682,2 191,"48,2 %",3 582,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
27/06/2026,Samedi,12 788,1 050,721,1 702,286,1 691,370,209,327,1 017,2 490,2 822,"46,5 %",4 953,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
28/06/2026,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,,0,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
29/06/2026,Lundi,9 309,747,514,1 209,204,1 202,263,148,232,723,1 792,2 202,"47,4 %",3 678,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239
30/06/2026,Mardi,10 584,827,569,1 339,225,1 332,291,164,257,801,1 985,2 713,"48,8 %",4 302,248 094,19 599,13 453,31 783,5 340,31 556,6 906,3 893,6 102,18 988,46 473,62 085,"48,5 %",100 239

