nbContratEntretien_DECI,nbCE_G6K
1,0

textbox1,textbox72
Du 06/04/2026,12/04/2026

LIBELLEMAGASIN
ANNECY SEYNOD

textbox250,textbox256
06/04/2026 - 12/04/2026,07/04/2025 - 13/04/2025

caht_n,textbox4,textbox74,textbox84,cattc_n,textbox16,marge_n,textbox24,textbox78,textbox86,textbox11,nbPassage_n,textbox14,cattc_n_2,textbox17
43 760,"-15,5 %",46 281,"94,6 %",52 510,"-15,5 %","43,5 %","-24,5 %",22 998,-3 983,Nb. client,631,"-21,6 %","83,2 €","7,8 %"

textbox22,textbox25,textbox27,textbox29,textbox31,textbox33,textbox34,textbox35,textbox37,textbox39,textbox41
20 550,"20,2 %",24 659,"20,2 %","25,4 %","-19,3 %",Nb. client,504,"-19,1 %","48,9 €","48,6 %"

textbox43,textbox45,textbox47,textbox49,textbox51,textbox53,textbox54,textbox55,textbox57,textbox62,textbox64
23 210,"-33,1 %",27 851,"-33,1 %","59,4 %","-26,2 %",Nb. client,131,"-31,8 %","212,6 €","-1,9 %"

textbox76,textbox19,codeFamille,libelleFamille,caht_n_1_1,textbox36,textbox77,textbox15,textbox71,textbox66
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,,,,-,-, - ,-,-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,A,ENTRETIEN,"4 060,09","7,7 %","-13,9 %","91,4 %","47,2 %","-15,4 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,B,ELECTRICITE,"2 626,44","5,0 %","-15,9 %","90,7 %","46,9 %","-13,4 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,C,PIECES TECHNIQUES,"7 638,60","14,5 %","9,0 %","119,8 %","47,8 %","12,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,D,OUTILLAGE,"1 196,95","2,3 %","-26,5 %","106,3 %","32,9 %","-38,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,E,EQUIPEMENT EXTERIEUR,"5 648,94","10,8 %","0,5 %","86,1 %","40,8 %","-3,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,F,EQUIPEMENT INTERIEUR,"960,58","1,8 %","-41,9 %","80,8 %","38,6 %","-44,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,G,AUTO SON,"419,80","0,8 %","-70,3 %","54,7 %","31,8 %","-57,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,H,LUBRIFIANTS,"3 960,36","7,5 %","-8,0 %","99,4 %","42,3 %","-18,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,I,PNEUMATIQUES,"8 759,39","16,7 %","-28,6 %","75,4 %","7,9 %","-10,9 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,J,2 ROUES,"6 669,33","12,7 %","42,0 %","630,8 %","-11,3 %","-191,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,U,SERVICES,"-2 957,59","-5,6 %","10,0 %","854,3 %","78,7 %","-13,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,W,DIVERS,"562,69","1,1 %","-48,4 %", - ,"100,0 %","-41,7 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,X,TARIF MAIN D'OEUVRE,"12 964,85","24,7 %","-27,5 %","85,8 %","100,0 %","-27,5 %"

libelle,marge_n_2,marge_n_1_1,textbox92
Marge Produit,8 210,10 273,-20 %

