nbContratEntretien_DECI,nbCE_G6K
5,0

textbox1,textbox72
Du 15/06/2026,21/06/2026

LIBELLEMAGASIN
ANNECY SEYNOD

textbox250,textbox256
15/06/2026 - 21/06/2026,16/06/2025 - 22/06/2025

caht_n,textbox4,textbox74,textbox84,cattc_n,textbox16,marge_n,textbox24,textbox78,textbox86,textbox11,nbPassage_n,textbox14,cattc_n_2,textbox17
46 447,"11,0 %",46 127,"100,7 %",55 734,"11,0 %","55,6 %","24,8 %",22 255,3 553,Nb. client,784,"4,0 %","71,1 €","6,8 %"

textbox22,textbox25,textbox27,textbox29,textbox31,textbox33,textbox34,textbox35,textbox37,textbox39,textbox41
14 404,"-14,4 %",17 282,"-14,4 %","40,4 %","-6,5 %",Nb. client,606,"1,3 %","28,5 €","-15,5 %"

textbox43,textbox45,textbox47,textbox49,textbox51,textbox53,textbox54,textbox55,textbox57,textbox62,textbox64
32 043,"28,1 %",38 451,"28,1 %","62,4 %","38,3 %",Nb. client,191,"13,7 %","201,3 €","12,7 %"

textbox76,textbox19,codeFamille,libelleFamille,caht_n_1_1,textbox36,textbox77,textbox15,textbox71,textbox66
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,,,,-,-, - ,-,-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,A,ENTRETIEN,"6 422,64","11,5 %","23,7 %","146,1 %","40,9 %","14,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,B,ELECTRICITE,"2 024,42","3,6 %","-23,5 %","67,2 %","46,5 %","-29,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,C,PIECES TECHNIQUES,"7 594,34","13,6 %","30,2 %","106,5 %","47,1 %","48,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,D,OUTILLAGE,"784,42","1,4 %","-17,1 %","65,5 %","34,7 %","-21,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,E,EQUIPEMENT EXTERIEUR,"7 048,17","12,6 %","24,7 %","99,6 %","39,0 %","32,6 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,F,EQUIPEMENT INTERIEUR,"2 387,87","4,3 %","9,7 %","154,2 %","28,8 %","-4,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,G,AUTO SON,"565,11","1,0 %","-35,2 %","64,7 %","37,0 %","-7,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,H,LUBRIFIANTS,"4 427,24","7,9 %","6,2 %","103,9 %","41,5 %","4,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,I,PNEUMATIQUES,"6 562,44","11,8 %","-25,6 %","63,1 %","14,1 %","28,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,J,2 ROUES,"196,36","0,4 %","-84,1 %","14,3 %","32,1 %","-68,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,M,CAMPING-CAR/CARAVANING,"14,99","0,0 %",-, - ,"25,6 %",-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,U,SERVICES,"-695,51","-1,2 %","92,0 %","193,1 %","151,8 %","273,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,W,DIVERS,"1 066,66","1,9 %","62,2 %", - ,"75,8 %","22,9 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,X,TARIF MAIN D'OEUVRE,"17 328,62","31,1 %","39,4 %","126,9 %","100,0 %","39,4 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,Z,EQUIPEMENT ATELIER,"5,98","0,0 %",-, - ,"57,4 %",-

libelle,marge_n_2,marge_n_1_1,textbox92
Marge Produit,11 367,10 318,10 %

