nbContratEntretien_DECI,nbCE_G6K
13,0

textbox1,textbox72
Du 01/06/2026,21/06/2026

LIBELLEMAGASIN
ANNECY SEYNOD

textbox250,textbox256
01/06/2026 - 21/06/2026,02/06/2025 - 22/06/2025

caht_n,textbox4,textbox74,textbox84,cattc_n,textbox16,marge_n,textbox24,textbox78,textbox86,textbox11,nbPassage_n,textbox14,cattc_n_2,textbox17
146 246,"15,3 %",140 133,"104,4 %",175 488,"15,3 %","53,4 %","20,5 %",68 101,9 987,Nb. client,2414,"6,3 %","72,7 €","8,4 %"

textbox22,textbox25,textbox27,textbox29,textbox31,textbox33,textbox34,textbox35,textbox37,textbox39,textbox41
49 237,"2,3 %",59 079,"2,3 %","38,7 %","4,5 %",Nb. client,1865,"2,9 %","31,7 €","-0,5 %"

textbox43,textbox45,textbox47,textbox49,textbox51,textbox53,textbox54,textbox55,textbox57,textbox62,textbox64
97 008,"23,3 %",116 409,"23,3 %","60,8 %","26,7 %",Nb. client,593,"22,0 %","196,3 €","1,0 %"

textbox76,textbox19,codeFamille,libelleFamille,caht_n_1_1,textbox36,textbox77,textbox15,textbox71,textbox66
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,,,,-,-, - ,-,-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,A,ENTRETIEN,"18 215,85","10,4 %","27,6 %","137,4 %","42,1 %","19,7 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,B,ELECTRICITE,"10 253,66","5,8 %","18,2 %","112,7 %","45,9 %","17,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,C,PIECES TECHNIQUES,"22 051,09","12,6 %","7,8 %","102,5 %","47,0 %","18,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,D,OUTILLAGE,"3 792,90","2,2 %","9,7 %","105,0 %","41,4 %","18,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,E,EQUIPEMENT EXTERIEUR,"17 607,20","10,0 %","6,5 %","82,5 %","41,2 %","8,6 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,F,EQUIPEMENT INTERIEUR,"5 825,29","3,3 %","8,1 %","124,6 %","30,2 %","0,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,G,AUTO SON,"1 926,24","1,1 %","-7,1 %","73,1 %","33,0 %","36,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,H,LUBRIFIANTS,"14 351,60","8,2 %","-3,3 %","111,7 %","43,0 %","1,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,I,PNEUMATIQUES,"23 735,08","13,5 %","5,8 %","75,6 %","8,9 %","52,7 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,J,2 ROUES,"4 562,29","2,6 %","80,5 %","110,5 %","8,9 %","49,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,L,LOISIRS/EQUIP.HORS VEHICULE,"14,99","0,0 %","0,0 %", - ,"40,8 %","-12,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,M,CAMPING-CAR/CARAVANING,"14,99","0,0 %",-, - ,"25,6 %",-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,U,SERVICES,"22,30","0,0 %","-102,3 %","-2,0 %","-7 911,5 %","-6,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,W,DIVERS,"2 731,59","1,6 %","32,4 %", - ,"88,0 %","16,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,X,TARIF MAIN D'OEUVRE,"50 332,15","28,7 %","23,2 %","118,9 %","100,0 %","23,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,Z,EQUIPEMENT ATELIER,"50,83","0,0 %",-, - ,"57,4 %",-

libelle,marge_n_2,marge_n_1_1,textbox92
Marge Produit,36 144,30 777,17 %

