nbContratEntretien_DECI,nbCE_G6K
1,0

textbox1,textbox72
Du 20/04/2026,26/04/2026

LIBELLEMAGASIN
ANNECY SEYNOD

textbox250,textbox256
20/04/2026 - 26/04/2026,21/04/2025 - 27/04/2025

caht_n,textbox4,textbox74,textbox84,cattc_n,textbox16,marge_n,textbox24,textbox78,textbox86,textbox11,nbPassage_n,textbox14,cattc_n_2,textbox17
47 777,"28,3 %",51 490,"92,8 %",57 330,"28,3 %","50,0 %","28,5 %",24 720,-841,Nb. client,764,"37,7 %","75,0 €","-6,8 %"

textbox22,textbox25,textbox27,textbox29,textbox31,textbox33,textbox34,textbox35,textbox37,textbox39,textbox41
19 163,"40,8 %",22 994,"40,8 %","35,7 %","53,7 %",Nb. client,604,"40,5 %","38,1 €","0,2 %"

textbox43,textbox45,textbox47,textbox49,textbox51,textbox53,textbox54,textbox55,textbox57,textbox62,textbox64
28 614,"21,1 %",34 336,"21,1 %","59,5 %","20,5 %",Nb. client,168,"27,3 %","204,4 €","-4,9 %"

textbox76,textbox19,codeFamille,libelleFamille,caht_n_1_1,textbox36,textbox77,textbox15,textbox71,textbox66
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,,,,-,-, - ,-,-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,A,ENTRETIEN,"4 753,34","8,3 %","41,9 %","93,1 %","43,0 %","32,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,B,ELECTRICITE,"3 507,77","6,1 %","52,7 %","105,1 %","46,0 %","46,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,C,PIECES TECHNIQUES,"5 733,97","10,0 %","12,8 %","78,3 %","51,0 %","21,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,D,OUTILLAGE,"1 254,89","2,2 %","4,7 %","96,9 %","41,7 %","13,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,E,EQUIPEMENT EXTERIEUR,"10 780,30","18,8 %","111,8 %","142,9 %","35,8 %","122,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,F,EQUIPEMENT INTERIEUR,"1 411,17","2,5 %","82,3 %","103,4 %","27,1 %","19,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,G,AUTO SON,"730,75","1,3 %","-17,3 %","82,9 %","34,1 %","-10,7 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,H,LUBRIFIANTS,"3 928,62","6,9 %","21,7 %","85,8 %","38,3 %","7,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,I,PNEUMATIQUES,"9 232,90","16,1 %","17,5 %","69,0 %","8,2 %","361,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,J,2 ROUES,"1 409,66","2,5 %","-42,5 %","116,2 %","6,0 %","-80,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,M,CAMPING-CAR/CARAVANING,"25,49","0,0 %","70,0 %", - ,"31,7 %","66,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,U,SERVICES,"-950,68","-1,7 %","-5,7 %","238,9 %","83,5 %","-22,6 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,W,DIVERS,"825,88","1,4 %","29,9 %", - ,"98,2 %","27,6 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,X,TARIF MAIN D'OEUVRE,"14 685,89","25,6 %","10,1 %","96,1 %","100,0 %","10,1 %"

libelle,marge_n_2,marge_n_1_1,textbox92
Marge Produit,11 640,7 469,56 %

