nbContratEntretien_DECI,nbCE_G6K
7,0

textbox1,textbox72
Du 04/05/2026,10/05/2026

LIBELLEMAGASIN
ANNECY SEYNOD

textbox250,textbox256
04/05/2026 - 10/05/2026,05/05/2025 - 11/05/2025

caht_n,textbox4,textbox74,textbox84,cattc_n,textbox16,marge_n,textbox24,textbox78,textbox86,textbox11,nbPassage_n,textbox14,cattc_n_2,textbox17
47 242,"-3,0 %",51 930,"91,0 %",56 688,"-3,0 %","52,5 %","-0,7 %",25 777,-954,Nb. client,821,"10,1 %","69,0 €","-11,9 %"

textbox22,textbox25,textbox27,textbox29,textbox31,textbox33,textbox34,textbox35,textbox37,textbox39,textbox41
18 354,"11,8 %",22 023,"11,8 %","42,1 %","18,3 %",Nb. client,641,"9,9 %","34,4 €","1,7 %"

textbox43,textbox45,textbox47,textbox49,textbox51,textbox53,textbox54,textbox55,textbox57,textbox62,textbox64
28 888,"-10,5 %",34 666,"-10,5 %","59,2 %","-7,4 %",Nb. client,187,"8,1 %","185,4 €","-17,2 %"

textbox76,textbox19,codeFamille,libelleFamille,caht_n_1_1,textbox36,textbox77,textbox15,textbox71,textbox66
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,,,,-,-, - ,-,-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,A,ENTRETIEN,"5 544,48","9,8 %","28,7 %","105,1 %","44,4 %","26,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,B,ELECTRICITE,"4 160,55","7,3 %","34,7 %","126,3 %","42,2 %","19,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,C,PIECES TECHNIQUES,"7 444,70","13,1 %","37,2 %","100,8 %","47,9 %","38,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,D,OUTILLAGE,"1 566,98","2,8 %","38,3 %","120,6 %","37,6 %","17,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,E,EQUIPEMENT EXTERIEUR,"7 252,17","12,8 %","-7,3 %","95,1 %","49,9 %","4,9 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,F,EQUIPEMENT INTERIEUR,"1 083,86","1,9 %","-15,8 %","74,4 %","32,3 %","-27,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,G,AUTO SON,"1 181,29","2,1 %","52,1 %","134,6 %","26,0 %","25,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,H,LUBRIFIANTS,"5 069,13","8,9 %","23,4 %","110,2 %","44,2 %","24,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,I,PNEUMATIQUES,"10 254,59","18,1 %","-24,8 %","81,9 %","8,2 %","-49,2 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,J,2 ROUES,"73,70","0,1 %","-93,3 %","5,5 %","38,9 %","-83,1 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,M,CAMPING-CAR/CARAVANING,"14,99","0,0 %","0,0 %", - ,"25,6 %","-20,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,U,SERVICES,"-4 865,99","-8,6 %","354,5 %","1 225,9 %","79,9 %","243,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,W,DIVERS,"897,56","1,6 %","7,3 %", - ,"100,0 %","7,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,X,TARIF MAIN D'OEUVRE,"17 010,32","30,0 %","3,9 %","105,4 %","100,0 %","3,9 %"

libelle,marge_n_2,marge_n_1_1,textbox92
Marge Produit,10 648,11 343,-6 %

