nbContratEntretien_DECI,nbCE_G6K
15,0

textbox1,textbox72
Du 01/05/2026,24/06/2026

LIBELLEMAGASIN
ANNECY SEYNOD

textbox250,textbox256
01/05/2026 - 24/06/2026,02/05/2025 - 25/06/2025

caht_n,textbox4,textbox74,textbox84,cattc_n,textbox16,marge_n,textbox24,textbox78,textbox86,textbox11,nbPassage_n,textbox14,cattc_n_2,textbox17
155 435,"-55,8 %",373 770,"41,6 %",186 514,"-55,8 %","52,2 %","-53,7 %",183 228,-102 034,Nb. client,2523,"-56,9 %","73,9 €","2,5 %"

textbox22,textbox25,textbox27,textbox29,textbox31,textbox33,textbox34,textbox35,textbox37,textbox39,textbox41
55 443,"-57,5 %",66 526,"-57,5 %","41,0 %","-50,5 %",Nb. client,1955,"-57,3 %","34,0 €","-0,6 %"

textbox43,textbox45,textbox47,textbox49,textbox51,textbox53,textbox54,textbox55,textbox57,textbox62,textbox64
99 992,"-54,8 %",119 988,"-54,8 %","58,5 %","-54,9 %",Nb. client,606,"-55,4 %","198,0 €","1,5 %"

textbox76,textbox19,codeFamille,libelleFamille,caht_n_1_1,textbox36,textbox77,textbox15,textbox71,textbox66
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,,,,-,-, - ,-,-
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,A,ENTRETIEN,"17 093,57","9,2 %","-54,8 %","46,3 %","43,9 %","-55,6 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,B,ELECTRICITE,"13 007,20","7,0 %","-45,5 %","54,2 %","44,1 %","-47,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,C,PIECES TECHNIQUES,"25 139,67","13,5 %","-48,0 %","45,6 %","46,3 %","-44,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,D,OUTILLAGE,"4 690,94","2,5 %","-50,7 %","49,4 %","40,8 %","-49,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,E,EQUIPEMENT EXTERIEUR,"20 907,23","11,2 %","-54,8 %","37,4 %","46,2 %","-46,7 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,F,EQUIPEMENT INTERIEUR,"3 974,76","2,1 %","-66,0 %","35,0 %","34,0 %","-67,0 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,G,AUTO SON,"3 279,55","1,8 %","-41,7 %","49,4 %","28,5 %","-38,6 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,H,LUBRIFIANTS,"14 761,04","7,9 %","-57,2 %","43,8 %","41,6 %","-58,7 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,I,PNEUMATIQUES,"32 718,55","17,5 %","-54,6 %","37,3 %","9,5 %","-50,7 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,J,2 ROUES,"1 841,68","1,0 %","-89,1 %","18,0 %","4,2 %","-205,3 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,M,CAMPING-CAR/CARAVANING,"14,99","0,0 %","-50,0 %", - ,"25,6 %","-55,8 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,U,SERVICES,"-7 751,91","-4,2 %","61,6 %","268,9 %","94,2 %","8,5 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,W,DIVERS,"3 010,62","1,6 %","-53,0 %", - ,"93,4 %","-54,9 %"
Prog. %  CA n-n-1,Prog. %Marge  n-n-1,X,TARIF MAIN D'OEUVRE,"53 825,97","28,9 %","-53,3 %","47,3 %","100,0 %","-53,3 %"

libelle,marge_n_2,marge_n_1_1,textbox92
Marge Produit,36 339,79 486,-54 %

