LIBELLEMAGASIN,textbox17,textbox27,textbox36,textbox34,textbox61,textbox29,marque
ANNECY SEYNOD,08/06/2026,14/06/2026,09/06/2025,15/06/2025,Total centre,Tous les fournisseurs,Toutes les marques

textbox48,textbox49,textbox60,textbox50,textbox94,textbox51,textbox52,textbox53,textbox54,textbox108,textbox62,textbox67,textbox76,textbox80,codeFamille,CAHT_n_4,CAHT_n_1_1,CAHT_n_5,textbox57,codeGamme,textbox85,MARGE_n,MARGE_n_1,MARGE_n_3,MARGE_n_5,textbox109,textbox63,textbox68,textbox83,textbox84,codeSousFamille,CAHT_n_3,CAHT_n_1_2,textbox32,textbox24,textbox100,textbox86,textbox25,textbox9,textbox4,textbox38,textbox64,textbox69,textbox87,textbox88,codeGamme_1,CAHT_n_2,CAHT_n_1_3,textbox35,textbox31,textbox89,textbox41,textbox11,textbox14,textbox39,textbox65,textbox75,textbox91,textbox92,codeArticle,nomProduit,CAHT_n,CAHT_n_1,CAHT_n_6,textbox7,MARGE_n_2,MARGE_n_1_1,MARGE_n_4,MARGE_n_6,textbox66,textbox79,textbox102,textbox103
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA01-MASTICS ET RESINES,"31,64","17,07",15 €,"85,4 %","0,6 %","59,3 %","66,4 %",7 €,"65,7 %",3,2,1,"50,0 %",103042,DURCISSEUR 50G,,"7,08",-7 €,"-100,0 %",-,"69,6 %",-5 €,"-100,0 %",,1,-1,"-100,0 %"
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA01-MASTICS ET RESINES,"31,64","17,07",15 €,"85,4 %","0,6 %","59,3 %","66,4 %",7 €,"65,7 %",3,2,1,"50,0 %",103045,"FIBRE VERRE TISS FIN 0,5M2","9,99","9,99",0 €,"0,0 %","63,0 %","64,1 %",0 €,"-1,7 %",1,1,0,"0,0 %"
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA01-MASTICS ET RESINES,"31,64","17,07",15 €,"85,4 %","0,6 %","59,3 %","66,4 %",7 €,"65,7 %",3,2,1,"50,0 %",103046,"FIBRE VERRE TISS MOYEN 0,5 M2","12,49",,12 €,-,"54,9 %",-,7 €,-,1,,1,-
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA01-MASTICS ET RESINES,"31,64","17,07",15 €,"85,4 %","0,6 %","59,3 %","66,4 %",7 €,"65,7 %",3,2,1,"50,0 %",103443,MASTIC FIN POLYEST+DURCIS 250G,"9,16",,9 €,-,"61,4 %",-,6 €,-,1,,1,-
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA13-PEINTURE : AEROSOL,"170,76","81,63",89 €,"109,2 %","3,4 %","41,4 %","50,7 %",29 €,"70,9 %",12,6,6,"100,0 %",481229,AERO 500MLVERNIS MAT MOTIP,"14,16",,14 €,-,"50,3 %",-,7 €,-,1,,1,-
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA13-PEINTURE : AEROSOL,"170,76","81,63",89 €,"109,2 %","3,4 %","41,4 %","50,7 %",29 €,"70,9 %",12,6,6,"100,0 %",714072,AERO 500ML APPRET GRIS MOTIP,"14,16",,14 €,-,"51,1 %",-,7 €,-,1,,1,-
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA13-PEINTURE : AEROSOL,"170,76","81,63",89 €,"109,2 %","3,4 %","41,4 %","50,7 %",29 €,"70,9 %",12,6,6,"100,0 %",714073,AERO 500ML NOIR BRILLANT MOTIP,"14,16","42,48",-28 €,"-66,7 %","51,0 %","51,6 %",-15 €,"-67,1 %",1,3,-2,"-66,7 %"
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA13-PEINTURE : AEROSOL,"170,76","81,63",89 €,"109,2 %","3,4 %","41,4 %","50,7 %",29 €,"70,9 %",12,6,6,"100,0 %",714074,AERO 500ML NOIR MAT MOTIP,"14,16",,14 €,-,"51,3 %",-,7 €,-,1,,1,-
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA13-PEINTURE : AEROSOL,"170,76","81,63",89 €,"109,2 %","3,4 %","41,4 %","50,7 %",29 €,"70,9 %",12,6,6,"100,0 %",714075,AERO 500ML NOIR SATINE MOTIP,"14,16",,14 €,-,"64,6 %",-,9 €,-,1,,1,-
50 319,42 071,8 248 €,"19,6 %","108,8 %","52,0 %","52,1 %",4 227 €,"19,3 %","116,6 %",2 887,2 436,451,"18,5 %",A-ENTRETIEN,4 982,3 572,1 410 €,"39,5 %","10,8 %","9,9 %","42,6 %","46,2 %",474 €,"28,7 %","137,5 %",375,291,84,"28,9 %",AA-PEINTURE ET REPAR.CARROSSERIE,"217,38","98,70",119 €,"120,2 %","0,5 %","4,4 %","45,1 %","53,4 %",45 €,"86,0 %",17,8,9,"112,5 %",AA13-PEINTURE : AEROSOL,"170,76","81,63",89 €,"109,2 %","3,4 %","41,4 %","50,7 %",29 €,"70,9 %",12,6,6,"100,0 %",714076,AERO 500ML BLC BRILLANT MOTIP,,"14,16",-14 €,"-100,0 %",-,"51,6 %",-7 €,"-100,0 %",,1,-1,"-100,0 %"
