textbox89,textbox9856,textbox25
Sélectionnez une période,08/06/2026 - 14/06/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,38,"38,0 %","-5,0 %",-2,,3 986,"11,7 %",419,,"48,72","1,22%",447,"11,21%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
CONTINENTAL,,,20,"20,0 %","-37,5 %",-12,,1 859,"-30,7 %",-822,,"-114,83","-6,18%",225,"12,09%",PREMIUM,,,38,"38,0 %","-5,0 %",-2,,3 986,"11,7 %",419,,"48,72","1,22%",447,"11,21%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
GOODYEAR,,,2,"2,0 %","0,0 %",2,,187,"0,0 %",187,,"-6,20","-3,32%",2,"0,82%",PREMIUM,,,38,"38,0 %","-5,0 %",-2,,3 986,"11,7 %",419,,"48,72","1,22%",447,"11,21%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
MICHELIN,,,12,"12,0 %","50,0 %",4,,1 060,"19,7 %",174,,"98,58","9,30%",117,"11,03%",PREMIUM,,,38,"38,0 %","-5,0 %",-2,,3 986,"11,7 %",419,,"48,72","1,22%",447,"11,21%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
PIRELLI,,,4,"4,0 %","0,0 %",4,,880,"0,0 %",880,,"71,17","8,09%",104,"11,77%",PREMIUM,,,38,"38,0 %","-5,0 %",-2,,3 986,"11,7 %",419,,"48,72","1,22%",447,"11,21%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
AUTRE,,,2,"2,0 %","0,0 %",2,,158,"0,0 %",158,,"7,22","4,58%",7,"4,58%",MEDIUM,,,30,"30,0 %","50,0 %",10,,1 988,"31,3 %",474,,"79,45","4,00%",229,"11,50%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
FEU VERT,,,10,"10,0 %","25,0 %",2,,662,"22,3 %",121,,"92,55","13,99%",171,"25,86%",MEDIUM,,,30,"30,0 %","50,0 %",10,,1 988,"31,3 %",474,,"79,45","4,00%",229,"11,50%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
HANKOOK,,,2,"2,0 %","-75,0 %",-6,,199,"-71,6 %",-500,,"-13,34","-6,72%",13,"6,44%",MEDIUM,,,30,"30,0 %","50,0 %",10,,1 988,"31,3 %",474,,"79,45","4,00%",229,"11,50%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
KUMHO,,,12,"12,0 %","0,0 %",12,,667,"0,0 %",667,,"-14,98","-2,25%",9,"1,33%",MEDIUM,,,30,"30,0 %","50,0 %",10,,1 988,"31,3 %",474,,"79,45","4,00%",229,"11,50%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
NEXEN,,,4,"4,0 %","0,0 %",0,,303,"10,6 %",29,,"8,00","2,64%",29,"9,46%",MEDIUM,,,30,"30,0 %","50,0 %",10,,1 988,"31,3 %",474,,"79,45","4,00%",229,"11,50%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
NOKIAN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,30,"30,0 %","50,0 %",10,,1 988,"31,3 %",474,,"79,45","4,00%",229,"11,50%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
AUTRE,,,22,"22,0 %","450,0 %",18,,920,"406,7 %",739,,"-134,87","-14,65%",-98,"-10,64%",BUDGET,,,32,"32,0 %","540,0 %",27,,1 370,"527,7 %",1 152,,"-98,70","-7,20%",-48,"-3,49%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
ROVELO,,,2,"2,0 %","100,0 %",1,,92,"151,0 %",55,,"18,31","19,94%",18,"19,94%",BUDGET,,,32,"32,0 %","540,0 %",27,,1 370,"527,7 %",1 152,,"-98,70","-7,20%",-48,"-3,49%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"
TRACMAX,,,8,"8,0 %","0,0 %",8,,358,"0,0 %",358,,"17,86","4,99%",32,"8,89%",BUDGET,,,32,"32,0 %","540,0 %",27,,1 370,"527,7 %",1 152,,"-98,70","-7,20%",-48,"-3,49%",,100,"53,8 %",35,,7 343,"38,6 %","2 044,45",,"29,47","0,40%",627,"8,54%"

marque,Obj,pdm5,real,PdmReal,Textbox305,textbox181,ObjectifCA2,G,Textbox73,textbox255,I,JI,Textbox98,J,textbox313,categorie,textbox184,textbox285,Greal,textbox187,Textbox311,textbox183,Textbox95,GG,Textbox75,textbox267,GI,GJI,Textbox107,GJ,textbox317,textbox8,totalReal,Textbox316b,textbox186,Textbox96,TG,Textbox76,textbox259,TI,TJI,Textbox103,TJ,textbox318
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,24,"37,5 %","33,3 %",6,,2 798,"65,3 %",1 105,,"9,54","0,34%",259,"9,27%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
CONTINENTAL,,,8,"12,5 %","-50,0 %",-8,,894,"-39,0 %",-572,,"-134,31","-15,02%",61,"6,84%",PREMIUM,,,24,"37,5 %","33,3 %",6,,2 798,"65,3 %",1 105,,"9,54","0,34%",259,"9,27%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
GOODYEAR,,,2,"3,1 %","0,0 %",2,,187,"0,0 %",187,,"-6,20","-3,32%",2,"0,82%",PREMIUM,,,24,"37,5 %","33,3 %",6,,2 798,"65,3 %",1 105,,"9,54","0,34%",259,"9,27%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
MICHELIN,,,10,"15,6 %","400,0 %",8,,837,"269,4 %",611,,"78,88","9,42%",93,"11,14%",PREMIUM,,,24,"37,5 %","33,3 %",6,,2 798,"65,3 %",1 105,,"9,54","0,34%",259,"9,27%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
PIRELLI,,,4,"6,3 %","0,0 %",4,,880,"0,0 %",880,,"71,17","8,09%",104,"11,77%",PREMIUM,,,24,"37,5 %","33,3 %",6,,2 798,"65,3 %",1 105,,"9,54","0,34%",259,"9,27%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,12,"18,8 %","20,0 %",2,,917,"24,9 %",183,,"54,76","5,97%",151,"16,42%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
FEU VERT,,,6,"9,4 %","50,0 %",2,,415,"56,9 %",151,,"60,10","14,47%",109,"26,28%",MEDIUM,,,12,"18,8 %","20,0 %",2,,917,"24,9 %",183,,"54,76","5,97%",151,"16,42%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
HANKOOK,,,2,"3,1 %","-66,7 %",-4,,199,"-57,7 %",-271,,"-13,34","-6,72%",13,"6,44%",MEDIUM,,,12,"18,8 %","20,0 %",2,,917,"24,9 %",183,,"54,76","5,97%",151,"16,42%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
NEXEN,,,4,"6,3 %","0,0 %",4,,303,"0,0 %",303,,"8,00","2,64%",29,"9,46%",MEDIUM,,,12,"18,8 %","20,0 %",2,,917,"24,9 %",183,,"54,76","5,97%",151,"16,42%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
