LIBELLEMAGASIN,textbox17,textbox27,textbox36,textbox34,textbox61,textbox29,marque
ANNECY SEYNOD,01/01/2026,31/03/2026,02/01/2025,01/04/2025,Total centre,Tous les fournisseurs,Toutes les marques

textbox48,textbox49,textbox60,textbox50,textbox94,textbox51,textbox52,textbox53,textbox54,textbox108,textbox62,textbox67,textbox76,textbox80,codeFamille,CAHT_n_4,CAHT_n_1_1,CAHT_n_5,textbox57,codeGamme,textbox85,MARGE_n,MARGE_n_1,MARGE_n_3,MARGE_n_5,textbox109,textbox63,textbox68,textbox83,textbox84,codeSousFamille,CAHT_n_3,CAHT_n_1_2,textbox32,textbox24,textbox100,textbox86,textbox25,textbox9,textbox4,textbox38,textbox64,textbox69,textbox87,textbox88,codeGamme_1,CAHT_n_2,CAHT_n_1_3,textbox35,textbox31,textbox89,textbox41,textbox11,textbox14,textbox39,textbox65,textbox75,textbox91,textbox92,codeArticle,nomProduit,CAHT_n,CAHT_n_1,CAHT_n_6,textbox7,MARGE_n_2,MARGE_n_1_1,MARGE_n_4,MARGE_n_6,textbox66,textbox79,textbox102,textbox103
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103042,DURCISSEUR 50G,,"14,16",-14 €,"-100,0 %",-,"69,6 %",-10 €,"-100,0 %",,2,-2,"-100,0 %"
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103045,"FIBRE VERRE TISS FIN 0,5M2","9,99","9,99",0 €,"0,0 %","63,0 %","64,1 %",0 €,"-1,7 %",1,1,0,"0,0 %"
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103046,"FIBRE VERRE TISS MOYEN 0,5 M2",,"12,49",-12 €,"-100,0 %",-,"56,2 %",-7 €,"-100,0 %",,1,-1,"-100,0 %"
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103051,MASTIC NITRO COMBI GRIS 250G,"18,32","27,48",-9 €,"-33,3 %","59,7 %","60,9 %",-6 €,"-34,6 %",2,3,-1,"-33,3 %"
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103438,MASTIC TS USAGES+DURCIS 250G,"18,32","45,80",-27 €,"-60,0 %","61,4 %","63,1 %",-18 €,"-61,1 %",2,5,-3,"-60,0 %"
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103439,MASTIC TS USAGES + DURCIS 1KG,"39,98",,40 €,-,"63,1 %",-,25 €,-,2,,2,-
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103441,MASTIC FIBRE VERRE+DURCIS 250G,"18,32","26,57",-8 €,"-31,1 %","59,3 %","59,1 %",-5 €,"-30,9 %",2,3,-1,"-33,3 %"
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103442,MASTIC FIBRE VERRE+DURCIS 1KG,"20,83","41,66",-21 €,"-50,0 %","62,0 %","63,1 %",-13 €,"-50,9 %",1,2,-1,"-50,0 %"
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103443,MASTIC FIN POLYEST+DURCIS 250G,"36,64","9,16",27 €,"300,0 %","61,4 %","62,4 %",17 €,"293,0 %",4,1,3,"300,0 %"
608 915,546 512,62 403 €,"11,4 %","103,9 %","51,0 %","52,7 %",22 275 €,"7,7 %","107,8 %",33 334,31 424,1 910,"6,1 %",A-ENTRETIEN,49 432,46 087,3 345 €,"7,3 %","8,4 %","8,1 %","44,7 %","45,4 %",1 176 €,"5,6 %","112,4 %",3 959,3 673,286,"7,8 %",AA-PEINTURE ET REPAR.CARROSSERIE,"1 444,30","1 487,42",-43 €,"-2,9 %","0,2 %","2,9 %","44,8 %","43,8 %",-4 €,"-0,6 %",117,124,-7,"-5,6 %",AA01-MASTICS ET RESINES,"311,49","372,71",-61 €,"-16,4 %","0,6 %","62,1 %","62,6 %",-40 €,"-17,1 %",23,28,-5,"-17,9 %",103444,MASTIC FIN POLYEST+DURCIS 1KG,"99,95","37,96",62 €,"163,3 %","62,8 %","62,0 %",39 €,"166,8 %",5,2,3,"150,0 %"
