textbox89,textbox9856,textbox25
Sélectionnez une période,01/01/2026 - 31/03/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
AUTRE,,,20,"1,5 %","42,9 %",6,,2 772,"59,9 %",1 038,,"118,24","4,27%",135,"4,88%",PREMIUM,,,460,"34,7 %","-4,2 %",-20,,49 473,"2,8 %",1 354,,"-222,34","-0,45%",4 781,"9,66%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
CONTINENTAL,,,308,"23,2 %","-1,3 %",-4,,31 419,"7,2 %",2 105,,"-1 372,25","-4,37%",3 285,"10,45%",PREMIUM,,,460,"34,7 %","-4,2 %",-20,,49 473,"2,8 %",1 354,,"-222,34","-0,45%",4 781,"9,66%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
GOODYEAR,,,6,"0,5 %","-14,3 %",-1,,738,"-7,2 %",-57,,"-22,65","-3,07%",8,"1,05%",PREMIUM,,,460,"34,7 %","-4,2 %",-20,,49 473,"2,8 %",1 354,,"-222,34","-0,45%",4 781,"9,66%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
MICHELIN,,,112,"8,4 %","-23,8 %",-35,,12 566,"-22,8 %",-3 711,,"1 111,49","8,85%",1 329,"10,58%",PREMIUM,,,460,"34,7 %","-4,2 %",-20,,49 473,"2,8 %",1 354,,"-222,34","-0,45%",4 781,"9,66%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
PIRELLI,,,14,"1,1 %","0,0 %",14,,1 978,"0,0 %",1 978,,"-57,17","-2,89%",24,"1,23%",PREMIUM,,,460,"34,7 %","-4,2 %",-20,,49 473,"2,8 %",1 354,,"-222,34","-0,45%",4 781,"9,66%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
AUTRE,,,132,"10,0 %","266,7 %",96,,8 769,"204,3 %",5 887,,"-107,11","-1,22%",230,"2,62%",MEDIUM,,,578,"43,6 %","59,7 %",216,,41 362,"45,1 %",12 858,,"1 960,40","4,74%",5 199,"12,57%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
FEU VERT,,,167,"12,6 %","-6,2 %",-11,,11 170,"-0,8 %",-90,,"1 432,63","12,83%",2 776,"24,86%",MEDIUM,,,578,"43,6 %","59,7 %",216,,41 362,"45,1 %",12 858,,"1 960,40","4,74%",5 199,"12,57%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
HANKOOK,,,118,"8,9 %","181,0 %",76,,9 939,"146,4 %",5 906,,"-134,06","-1,35%",1 108,"11,15%",MEDIUM,,,578,"43,6 %","59,7 %",216,,41 362,"45,1 %",12 858,,"1 960,40","4,74%",5 199,"12,57%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
KUMHO,,,4,"0,3 %","0,0 %",4,,207,"0,0 %",207,,"19,27","9,30%",26,"12,48%",MEDIUM,,,578,"43,6 %","59,7 %",216,,41 362,"45,1 %",12 858,,"1 960,40","4,74%",5 199,"12,57%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
NEXEN,,,28,"2,1 %","600,0 %",24,,1 940,"656,3 %",1 684,,"-24,96","-1,29%",113,"5,80%",MEDIUM,,,578,"43,6 %","59,7 %",216,,41 362,"45,1 %",12 858,,"1 960,40","4,74%",5 199,"12,57%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
NOKIAN,,,129,"9,7 %","26,5 %",27,,9 335,"-7,3 %",-736,,"774,63","8,30%",946,"10,13%",MEDIUM,,,578,"43,6 %","59,7 %",216,,41 362,"45,1 %",12 858,,"1 960,40","4,74%",5 199,"12,57%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
AUTRE,,,51,"3,8 %","0,0 %",51,,3 530,"0,0 %",3 530,,"289,14","8,19%",400,"11,34%",BUDGET,,,288,"21,7 %","15,2 %",38,,11 727,"38,1 %",3 235,,"-514,35","-4,39%",-231,"-1,97%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
ROVELO,,,145,"10,9 %","-24,5 %",-47,,3 964,"-33,5 %",-1 999,,"-839,95","-21,19%",-840,"-21,19%",BUDGET,,,288,"21,7 %","15,2 %",38,,11 727,"38,1 %",3 235,,"-514,35","-4,39%",-231,"-1,97%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"
TRACMAX,,,92,"6,9 %","58,6 %",34,,4 233,"67,4 %",1 705,,"36,46","0,86%",209,"4,93%",BUDGET,,,288,"21,7 %","15,2 %",38,,11 727,"38,1 %",3 235,,"-514,35","-4,39%",-231,"-1,97%",,1 326,"21,4 %",234,,102 562,"20,5 %","17 447,11",,"1 223,71","1,19%",9 749,"9,51%"

marque,Obj,pdm5,real,PdmReal,Textbox305,textbox181,ObjectifCA2,G,Textbox73,textbox255,I,JI,Textbox98,J,textbox313,categorie,textbox184,textbox285,Greal,textbox187,Textbox311,textbox183,Textbox95,GG,Textbox75,textbox267,GI,GJI,Textbox107,GJ,textbox317,textbox8,totalReal,Textbox316b,textbox186,Textbox96,TG,Textbox76,textbox259,TI,TJI,Textbox103,TJ,textbox318
