libelleAbrege,textbox38
ANNECY 2,18/05/2026-24/05/2026

libelleGroupe,qteN,qteN_1,textbox20,textbox50
Nb OR,173,170,3,2 %
Forfaits Vidange,46,38,8,21 %
Pose Pneu,88,79,9,11 %

dateDebut_N_1
19/05/2025-25/05/2025

libelleUnivers,textbox1,objectif,numN,denomN,ratioN,textbox113,textbox114,ratioN_1,textbox130,prixNum,Potentiel,textbox91
Ratios sur Pose Pneu,Garantie Pneu / Pneus vendus,50 %,38,79,48 %,30,82,37 %,-2,5,-8,8
Ratios sur Pose Pneu,Permutation / Pose Pneu,10 %,3,88,3 %,8,79,10 %,-6,7,-40,-5
Ratios sur Pose Pneu,Géométrie / Pose Pneu,19 %,19,88,22 %,23,79,29 %,2,66,150,-4
Ratios sur Pose Pneu,Rotule / Pose Pneu,3 %,2,88,2 %,3,79,4 %,-1,45,-29,-1
Ratios sur Pose Pneu,Amortisseur / Pose Pneu,5 %,6,88,7 %,2,79,3 %,2,79,126,4
Ratios sur Nb OR,MultiDiag / Nb OR,30 %,49,173,28 %,44,170,26 %,-3,30,-87,5
Ratios sur Nb OR,Climatisation / Nb OR,3 %,28,173,16 %,21,170,12 %,23,49,1 118,7
Ratios sur Nb OR,Courroie Distribution / Nb OR,3 %,2,173,1 %,,170, - ,-2,196,-456,2
Ratios sur Nb OR,Liquide de refroidissement / Nb OR,7 %,15,173,9 %,15,170,9 %,3,70,202,0
Ratios sur Nb OR,Plaquette / Nb OR,11 %,25,173,14 %,18,170,11 %,6,34,203,7
Ratios sur Nb OR,Liquide de frein / Nb OR,11 %,21,173,12 %,24,170,14 %,2,59,116,-3
Ratios sur Nb OR,Disque / Plaquette,60 %,16,25,64 %,7,18,39 %,1,68,68,9
Ratios sur Nb OR,Montage ampoules / Nb OR,10 %,6,173,3 %,5,170,3 %,-11,10,-113,1
Ratios sur Nb OR,Réglage phare / Nb OR,4 %,,173, - ,,170, - ,-7,32,-221,0
Ratios sur Nb OR,Rénovation phare / Nb OR,1 %,,173, - ,,170, - ,-2,84,-145,0
Ratios sur Nb OR,Attelage / Nb OR,2 %,2,173,1 %,3,170,2 %,-1,122,-178,-1
Ratios sur vidange,Filtre habitacle / Vidange,65 %,28,46,61 %,22,38,58 %,-2,22,-42,6
Ratios sur vidange,Filtre à air / Vidange,50 %,19,46,41 %,10,38,26 %,-4,16,-64,9
Ratios sur vidange,Filtre à carburant / Vidange,30 %,11,46,24 %,7,38,18 %,-3,23,-64,4
Ratios sur vidange,Vidange simple / Vidange,0 %,7,46,15 %,8,38,21 %,7,,0,-1
Ratios sur vidange,Révision 1F / Vidange,30 %,12,46,26 %,7,38,18 %,-2,,0,5
Ratios sur vidange,Révision 2F / Vidange,35 %,10,46,22 %,12,38,32 %,-6,,0,-2
Ratios sur vidange,Révision 3F / Vidange,17 %,8,46,17 %,8,38,21 %,0,,0,0
Ratios sur vidange,Révision 4F / Vidange,18 %,9,46,20 %,3,38,8 %,1,,0,6
Ratios sur vidange,Nb remplacement bougies / Véhicules essence,15 %,3,, - ,3,, - ,3,,0,0
Relais de croissance,Obus / Climatisation,70 %,20,28,71 %,13,21,62 %,0,10,4,7
Relais de croissance,Recherche de fuite / Climatisation,40 %,11,28,39 %,10,21,48 %,0,,0,1
Relais de croissance,CT / Nb OR,3 %,1,173,1 %,2,170,1 %,-4,0,0,-1
Relais de croissance,Nbre montage batteries / Nb batterie,30 %,5,19,26 %,2,13,15 %,-1,20,-14,3
Relais de croissance,Diag pollution diesel/Nb Révision,0 %,,46, - ,,38, - ,0,29,0,0
Relais de croissance,Traitements dépollution moteurs / Nb Vidange,35 %,15,46,33 %,20,38,53 %,-1,69,-76,-5
Relais de croissance,Nb Pose Batterie/Nb OR,7 %,5,173,3 %,2,170,1 %,-7,,0,3
Relais de croissance,NB distribution Puretech / Distribution,12 %,,, - ,,, - ,0,,0,0
Relais de croissance,Colmatage / Climatisation,35 %,6,28,21 %,4,21,19 %,-4,,0,2

textbox141
1 988

textbox103
-1 537

textbox65,textbox57,textbox59,textbox60,textbox61,textbox33
Suivi ventes,Filtre à particules,,,0, - 
Suivi ventes,Embrayage,,,0, - 

