libelleAbrege,textbox38
ANNECY 2,01/01/2026-31/03/2026

libelleGroupe,qteN,qteN_1,textbox20,textbox50
Nb OR,2117,1951,166,9 %
Forfaits Vidange,546,498,48,10 %
Pose Pneu,1221,1019,202,20 %

dateDebut_N_1
02/01/2025-01/04/2025

libelleUnivers,textbox1,objectif,numN,denomN,ratioN,textbox113,textbox114,ratioN_1,textbox130,prixNum,Potentiel,textbox91
Ratios sur Pose Pneu,Garantie Pneu / Pneus vendus,50 %,575,1326,43 %,552,1092,51 %,-88,5,-440,23
Ratios sur Pose Pneu,Permutation / Pose Pneu,10 %,52,1221,4 %,80,1019,8 %,-70,7,-484,-28
Ratios sur Pose Pneu,Géométrie / Pose Pneu,19 %,282,1221,23 %,248,1019,24 %,50,66,3 296,34
Ratios sur Pose Pneu,Rotule / Pose Pneu,3 %,65,1221,5 %,52,1019,5 %,28,45,1 277,13
Ratios sur Pose Pneu,Amortisseur / Pose Pneu,5 %,94,1221,8 %,90,1019,9 %,33,79,2 603,4
Ratios sur Nb OR,MultiDiag / Nb OR,30 %,651,2117,31 %,601,1951,31 %,16,30,477,50
Ratios sur Nb OR,Climatisation / Nb OR,3 %,56,2117,3 %,63,1951,3 %,-8,49,-368,-7
Ratios sur Nb OR,Courroie Distribution / Nb OR,3 %,20,2117,1 %,26,1951,1 %,-33,196,-6 453,-6
Ratios sur Nb OR,Liquide de refroidissement / Nb OR,7 %,190,2117,9 %,239,1951,12 %,42,70,2 927,-49
Ratios sur Nb OR,Plaquette / Nb OR,11 %,264,2117,12 %,238,1951,12 %,31,34,1 058,26
Ratios sur Nb OR,Liquide de frein / Nb OR,11 %,286,2117,14 %,262,1951,13 %,53,59,3 135,24
Ratios sur Nb OR,Disque / Plaquette,60 %,154,264,58 %,154,238,65 %,-4,68,-299,0
Ratios sur Nb OR,Montage ampoules / Nb OR,10 %,205,2117,10 %,212,1951,11 %,-7,10,-67,-7
Ratios sur Nb OR,Réglage phare / Nb OR,4 %,16,2117,1 %,18,1951,1 %,-69,32,-2 198,-2
Ratios sur Nb OR,Rénovation phare / Nb OR,1 %,11,2117,1 %,10,1951,1 %,-10,84,-854,1
Ratios sur Nb OR,Attelage / Nb OR,2 %,7,2117,0 %,10,1951,1 %,-35,122,-4 311,-3
Ratios sur vidange,Filtre habitacle / Vidange,65 %,300,546,55 %,266,498,53 %,-55,22,-1 208,34
Ratios sur vidange,Filtre à air / Vidange,50 %,144,546,26 %,135,498,27 %,-129,16,-2 064,9
Ratios sur vidange,Filtre à carburant / Vidange,30 %,79,546,14 %,77,498,15 %,-85,23,-1 950,2
Ratios sur vidange,Vidange simple / Vidange,0 %,127,546,23 %,107,495,22 %,127,,0,20
Ratios sur vidange,Révision 1F / Vidange,30 %,119,546,22 %,116,495,23 %,-45,,0,3
Ratios sur vidange,Révision 2F / Vidange,35 %,149,546,27 %,139,495,28 %,-42,,0,10
Ratios sur vidange,Révision 3F / Vidange,17 %,96,546,18 %,82,495,17 %,3,,0,14
Ratios sur vidange,Révision 4F / Vidange,18 %,51,546,9 %,51,495,10 %,-47,,0,0
Ratios sur vidange,Nb remplacement bougies / Véhicules essence,15 %,33,-1,-3 300 %,,, - ,33,,0,33
Relais de croissance,Obus / Climatisation,70 %,46,56,82 %,31,63,49 %,7,10,67,15
Relais de croissance,Recherche de fuite / Climatisation,40 %,6,56,11 %,10,63,16 %,-16,,0,-4
Relais de croissance,CT / Nb OR,3 %,22,2117,1 %,23,1951,1 %,-42,0,0,-1
Relais de croissance,Nbre montage batteries / Nb batterie,30 %,105,316,33 %,79,207,38 %,10,20,204,26
Relais de croissance,Diag pollution diesel/Nb Révision,0 %,,542, - ,,495, - ,0,29,0,0
Relais de croissance,Traitements dépollution moteurs / Nb Vidange,35 %,283,546,52 %,246,495,50 %,92,69,6 341,37
Relais de croissance,Nb Pose Batterie/Nb OR,7 %,105,2117,5 %,79,1951,4 %,-43,,0,26
Relais de croissance,NB distribution Puretech / Distribution,12 %,,, - ,,, - ,0,,0,0
Relais de croissance,Colmatage / Climatisation,35 %,3,56,5 %,1,63,2 %,-17,,0,2

textbox141
21 385

textbox103
-20 697

textbox65,textbox57,textbox59,textbox60,textbox61,textbox33
Suivi ventes,Filtre à particules,,,0, - 
Suivi ventes,Embrayage,,,0, - 

