libelleAbrege,textbox38
ANNECY 2,06/04/2026-12/04/2026

libelleGroupe,qteN,qteN_1,textbox20,textbox50
Nb OR,131,192,-61,-32 %
Forfaits Vidange,33,40,-7,-18 %
Pose Pneu,58,120,-62,-52 %

dateDebut_N_1
07/04/2025-13/04/2025

libelleUnivers,textbox1,objectif,numN,denomN,ratioN,textbox113,textbox114,ratioN_1,textbox130,prixNum,Potentiel,textbox91
Ratios sur Pose Pneu,Garantie Pneu / Pneus vendus,50 %,34,68,50 %,54,115,47 %,0,5,0,-20
Ratios sur Pose Pneu,Permutation / Pose Pneu,10 %,14,58,24 %,18,120,15 %,8,7,57,-4
Ratios sur Pose Pneu,Géométrie / Pose Pneu,19 %,13,58,22 %,19,120,16 %,2,66,130,-6
Ratios sur Pose Pneu,Rotule / Pose Pneu,3 %,4,58,7 %,6,120,5 %,2,45,102,-2
Ratios sur Pose Pneu,Amortisseur / Pose Pneu,5 %,8,58,14 %,4,120,3 %,5,79,403,4
Ratios sur Nb OR,MultiDiag / Nb OR,30 %,38,131,29 %,44,192,23 %,-1,30,-39,-6
Ratios sur Nb OR,Climatisation / Nb OR,3 %,14,131,11 %,17,192,9 %,10,49,493,-3
Ratios sur Nb OR,Courroie Distribution / Nb OR,3 %,2,131,2 %,2,192,1 %,-1,196,-250,0
Ratios sur Nb OR,Liquide de refroidissement / Nb OR,7 %,11,131,8 %,14,192,7 %,2,70,128,-3
Ratios sur Nb OR,Plaquette / Nb OR,11 %,12,131,9 %,16,192,8 %,-2,34,-82,-4
Ratios sur Nb OR,Liquide de frein / Nb OR,11 %,15,131,11 %,25,192,13 %,1,59,35,-10
Ratios sur Nb OR,Disque / Plaquette,60 %,7,12,58 %,12,16,75 %,0,68,-14,-5
Ratios sur Nb OR,Montage ampoules / Nb OR,10 %,5,131,4 %,12,192,6 %,-8,10,-81,-7
Ratios sur Nb OR,Réglage phare / Nb OR,4 %,,131, - ,1,192,1 %,-5,32,-168,-1
Ratios sur Nb OR,Rénovation phare / Nb OR,1 %,,131, - ,,192, - ,-1,84,-110,0
Ratios sur Nb OR,Attelage / Nb OR,2 %,1,131,1 %,2,192,1 %,-2,122,-198,-1
Ratios sur vidange,Filtre habitacle / Vidange,65 %,15,33,45 %,28,40,70 %,-6,22,-142,-13
Ratios sur vidange,Filtre à air / Vidange,50 %,12,33,36 %,13,40,33 %,-5,16,-72,-1
Ratios sur vidange,Filtre à carburant / Vidange,30 %,6,33,18 %,10,40,25 %,-4,23,-90,-4
Ratios sur vidange,Vidange simple / Vidange,0 %,7,33,21 %,4,39,10 %,7,,0,3
Ratios sur vidange,Révision 1F / Vidange,30 %,9,33,27 %,7,39,18 %,-1,,0,2
Ratios sur vidange,Révision 2F / Vidange,35 %,7,33,21 %,17,39,44 %,-5,,0,-10
Ratios sur vidange,Révision 3F / Vidange,17 %,5,33,15 %,3,39,8 %,-1,,0,2
Ratios sur vidange,Révision 4F / Vidange,18 %,5,33,15 %,8,39,21 %,-1,,0,-3
Ratios sur vidange,Nb remplacement bougies / Véhicules essence,15 %,5,, - ,0,1,0 %,5,,0,5
Relais de croissance,Obus / Climatisation,70 %,10,14,71 %,10,17,59 %,0,10,2,0
Relais de croissance,Recherche de fuite / Climatisation,40 %,5,14,36 %,7,17,41 %,-1,,0,-2
Relais de croissance,CT / Nb OR,3 %,1,131,1 %,3,192,2 %,-3,0,0,-2
Relais de croissance,Nbre montage batteries / Nb batterie,30 %,2,11,18 %,1,15,7 %,-1,20,-26,1
Relais de croissance,Diag pollution diesel/Nb Révision,0 %,,33, - ,,39, - ,0,29,0,0
Relais de croissance,Traitements dépollution moteurs / Nb Vidange,35 %,16,33,48 %,16,39,41 %,4,69,307,0
Relais de croissance,Nb Pose Batterie/Nb OR,7 %,2,131,2 %,1,192,1 %,-7,,0,1
Relais de croissance,NB distribution Puretech / Distribution,12 %,,, - ,,, - ,0,,0,0
Relais de croissance,Colmatage / Climatisation,35 %,2,14,14 %,3,17,18 %,-3,,0,-1

textbox141
1 657

textbox103
-1 270

textbox65,textbox57,textbox59,textbox60,textbox61,textbox33
Suivi ventes,Filtre à particules,,,0, - 
Suivi ventes,Embrayage,,,0, - 

